                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.3695,                0.61937,                 1.2074,                0.90663,                0.88727,                0.91302,                0.44118,                 1.8091,                0.67978,                 1.3832,               0.001486,               0.001486,               0.001486
                     88,                 1.3602,                0.61337,                 1.2012,                0.90575,                0.88759,                0.91282,                0.44106,                 1.8116,                0.67866,                 1.3852,               0.001387,               0.001387,               0.001387
                     89,                 1.3529,                0.61153,                 1.1961,                0.90541,                0.88714,                0.91162,                0.44015,                 1.8144,                0.67724,                 1.3873,               0.001288,               0.001288,               0.001288
                     90,                 1.3475,                0.60727,                 1.1892,                0.90574,                0.88734,                0.91205,                0.43947,                 1.8173,                0.67614,                 1.3892,               0.001189,               0.001189,               0.001189
                     91,                 1.3473,                0.46802,                  1.209,                0.90547,                0.88735,                  0.912,                0.43908,                 1.8198,                0.67534,                  1.391,                0.00109,                0.00109,                0.00109
                     92,                 1.3314,                0.46032,                 1.1986,                0.90665,                0.88576,                0.91138,                0.43833,                 1.8227,                0.67423,                  1.393,               0.000991,               0.000991,               0.000991
                     93,                 1.3198,                 0.4553,                 1.1893,                0.90627,                0.88479,                0.91084,                0.43762,                 1.8256,                 0.6734,                 1.3952,               0.000892,               0.000892,               0.000892
                     94,                 1.3097,                0.45176,                 1.1912,                 0.9054,                0.88399,                0.91034,                0.43688,                 1.8284,                0.67262,                 1.3972,               0.000793,               0.000793,               0.000793
                     95,                 1.2962,                0.44653,                 1.1788,                0.90431,                0.88419,                0.90988,                0.43588,                 1.8316,                0.67174,                 1.3994,               0.000694,               0.000694,               0.000694
                     96,                 1.2863,                0.44206,                 1.1763,                0.90344,                0.88465,                0.90944,                0.43508,                 1.8345,                0.67104,                 1.4014,               0.000595,               0.000595,               0.000595
                     97,                  1.275,                 0.4388,                 1.1677,                0.90376,                0.88341,                0.90892,                0.43439,                 1.8376,                0.67056,                 1.4034,               0.000496,               0.000496,               0.000496
                     98,                 1.2686,                0.43555,                 1.1664,                 0.9037,                0.88286,                0.90834,                0.43386,                 1.8406,                0.66995,                 1.4055,               0.000397,               0.000397,               0.000397
                     99,                 1.2584,                0.43357,                 1.1605,                0.90394,                0.88237,                0.90791,                0.43313,                 1.8438,                0.66924,                 1.4078,               0.000298,               0.000298,               0.000298
                    100,                   1.25,                0.42987,                 1.1543,                0.90384,                0.88208,                 0.9076,                0.43219,                  1.847,                0.66869,                   1.41,               0.000199,               0.000199,               0.000199
